;x	xlow	xhigh	   y	  stat     syst+            syst-
 25.0	20.0	30.0	4700000. +40420.0     +944700.0    -954100.0  
 37.5	30.0	45.0	717000.0 +9536.1      +121890.0    -116871.0  
 52.5	45.0	60.0	148000.0 +4484.4      +18944.0     -17020.0   
 70.0	60.0	80.0	38100.0	 +419.1	      +3962.4      -3848.1	  
 95.0	80.0	110.0	8520.0	 +57.936      +894.6       -979.80	  
 135.0	110.0	160.0	1480.0	 +9.176	      +146.52      -137.64	  
 185.0	160.0	210.0	254.0	 +1.7526      +26.924      -25.146	  
 235.0	210.0	260.0	63.4	 +0.57694     +8.0518      -8.6858	  
 285.0	260.0	310.0	20.7	 +0.17802     +2.6289      -2.4219	  
 355.0	310.0	400.0	5.96	 +0.061388    +0.70328     -0.64368	  
 450.0	400.0	500.0	1.33	 +0.026866    +0.15561     -0.16093	  
 550.0	500.0	600.0	0.347	 +0.0111734   +0.049621    -0.045457  
 700.0	600.0	800.0	0.0644	 +0.00369012  +0.0097888   -0.0092736 
 900.0	800.0	1000.0	0.0101	 +0.0016867   +0.0018281   -0.0016564 
 1100.0	1000.0	1200.0	0.00114	 +4.2522E-4   +2.508E-4    -2.28E-4	  
 1350.0	1200.0	1500.0	4.0E-4	 +2.344E-4    +1.092E-4    -1.008E-4  

