; x	xlow	xhigh	    y	        dy+   	
  25.0	20.0	30.0	3700000.0    +20350.0	 +958300.0     -947200.0     
  37.5	30.0	45.0	562000.0     +6575.4	 +128698.0    -115210.0     
  52.5	45.0	60.0	109000.0     +2190.9	 +18966.0     -15369.0      
  70.0	60.0	80.0	26700.0	     +194.91	 +3631.2      -3577.8       
  95.0	80.0	110.0	5840.0	     +64.824	 +741.68      -700.8        
 135.0	110.0	160.0	958.0	     +6.8018	 +108.254     -109.212      
 185.0	160.0	210.0	151.0	     +1.2231	 +20.687      -18.12	 
 235.0	210.0	260.0	33.8	     +0.22308	 +4.6644      -4.6306	 
 285.0	260.0	310.0	9.58	     +0.122624	 +1.50406     -1.40826      
 355.0	310.0	400.0	2.35	     +0.02491	 +0.39245     -0.35955      
 450.0	400.0	500.0	0.391	     +0.0077418	 +0.06998     -0.069989     
 550.0	500.0	600.0	0.0725	     +0.003422	 +0.01508     -0.0150075    
 700.0	600.0	800.0	0.00951	     +8.34027E-4 +0.00267231  -0.00225387	
 900.0	800.0	1000.0	4.86E-4	     +1.90512E-4 +1.72044E-4  -1.54062E-4	
1100.0	1000.0	1200.0	6.93E-5	     +7.1379E-5	 +3.29868E-5  -2.93832E-5	
