; x	xlow	xhigh	   y         stat     syst
 25.0	20.0	30.0	8540000.0   +46970.     +1938580.0   -2015440.0  
 37.5	30.0	45.0	1120000.0   +1288.      +237440.0    -226240.0   
 52.5	45.0	60.0	199000.0    +4716.3     +31641.0     -27860.0    
 70.0	60.0	80.0	48400.0	    +440.44     +5808.0      -5324.0     
 95.0	80.0	110.0   10300.0     +62.83      +1030.0      -1122.7     
135.0	110.0	160.0	1660.0      +9.13       +182.6       -182.6      
185.0	160.0	210.0	260.0	    +1.664      +30.94       -27.82      
235.0	210.0	260.0	61.7	    +0.59232    +7.52734     -8.021      
285.0	260.0	310.0	19.5	    +0.15795    +2.8275      -2.5545     
355.0	310.0	400.0	5.24	    +0.058688   +0.79648     -0.69692    
450.0	400.0	500.0	1.1	    +0.02156    +0.1551      -0.1628     
550.0	500.0	600.0	0.252	    +0.0083916	+0.039312    -0.03906    
700.0	600.0	800.0	0.0472	    +0.00308216	+0.008968    -0.0083544  
900.0	800.0	1000.0	0.00297	    +6.534E-4	+7.3359E-4   -6.3261E-4  
1100.0	1000.0	1200.0	4.54E-4	    +2.8375E-4	+1.42102E-4  -1.35292E-4 
1350.0	1200.0	1500.0	1.01E-4	    +1.1514E-4  +4.4541E-5   -4.4238E-5   
