;xdesc	x	xlow	xhigh         y          stat        syst
   25.0   20.0   30.0   7650000.0  +30600.0    +2272050.0  -2249100.0  
   37.5   30.0   45.0	938000.0   +6753.6     +242942.0   -222306.0   
   52.5   45.0   60.0   159000.0   +2750.7     +28620.0    -23850.0    
   70.0   60.0   80.0   37800.0    +249.48     +5103.0     -4498.2     
   95.0   80.0  110.0   7760.0     +72.168     +845.84     -946.72     
  135.0  110.0  160.0   1250.0     +10.125     +143.75     -145.0      
  185.0  160.0  210.0   186.0      +1.3764     +24.738     -21.576     
  235.0  210.0  260.0   41.2       +0.29252    +5.4796     -5.6856     
  285.0  260.0  310.0   11.4       +0.14592    +1.7898     -1.6872     
  355.0  310.0  400.0   2.85       +0.025935   +0.5073     -0.4332     
  450.0  400.0  500.0   0.46       +0.008602   +0.08556    -0.08372    
  550.0  500.0  600.0   0.0854     +0.00356972 +0.0178486  -0.0169092  
  700.0  600.0  800.0   0.0115     +9.4415E-4  +0.003289   -0.002898   
  900.0  800.0 1000.0   6.85E-4    +2.40435E-4 +2.603E-4   -2.08925E-4 
 1100.0 1000.0 1200.0   6.75E-5    +7.02E-5    +3.44925E-5 -2.781E-5   

