; x   xlow xhigh       y      stat        syst
 25.0  20.0  30.0  3900000.0 +23790.0   +1840800.0 -1571700.0 
 37.5  30.0  45.0  426000.0  +6049.2    +187866.0  -145266.0  
 52.5  45.0  60.0  64200.0   +2054.4    +18361.2   -16306.8   
 70.0  60.0  80.0  12400.0   +168.64    +2715.6    -2219.6    
 95.0  80.0 110.0  1780.0    +41.83     +318.62    -320.4     
135.0 110.0 160.0  151.0     +2.0536    +33.824    -33.522    
185.0 160.0 210.0  7.23      +0.228468  +2.44374   -1.90149   
235.0 210.0 260.0  0.375     +0.0258    +0.157125  -0.130125  
285.0 260.0 310.0  0.0109    +0.0039022 +0.0073466 -0.0054282 

