10 28 0.0000 
28 40 0.0000 
40 54 0.0000 
54 68 0.0000 
68 84 0.0000 
84 100 0.0000 
100 116 0.9679 
116 134 0.9688 
134 152 0.9698 
152 172 0.9707 
172 194 0.9717 
194 216 0.9726 
216 240 0.9736 
240 264 0.9745 
264 290 0.9753 
290 318 0.9762 
318 346 0.9770 
346 376 0.9778 
376 408 0.9785 
408 442 0.9793 
442 478 0.9799 
478 516 0.9806 
516 556 0.9812 
556 598 0.9818 
598 642 0.9823 
642 688 0.9827 
688 736 0.9832 
736 786 0.9835 
786 838 0.9839 
838 894 0.9842 
894 952 0.9844 
952 1012 0.9847 
1012 1162 0.9850 
1162 1310 0.9853 
1310 1992 0.9855 
