
&DATA
  Name = 'ATLAS 7 TeV Incjet data y_20_25 R=0.6'
  NDATA = 25
  NColumn = 139
  ColumnType = 'Flag', 2*'Bin',2*'Dummy','Sigma',133*'Error'
  ColumnName = 'binFlag','pt1','pt2','Extra','NPCorr','Sigma','stat','stat','ATL_CloseBy+','ATL_CloseBy-','ATL_EtaIntercalibration_Modelling+','ATL_EtaIntercalibration_Modelling-','ATL_EtaIntercalibration_TotalStat+','ATL_EtaIntercalibration_TotalStat-','ATL_Flavor_Comp+','ATL_Flavor_Comp-','ATL_Flavor_Response+','ATL_Flavor_Response-','ATL_Insitu_LArEMscale+','ATL_Insitu_LArEMscale-','ATL_InSitu_Stat1+','ATL_InSitu_Stat1-','ATL_InSitu_Stat2+','ATL_InSitu_Stat2-','ATL_InSitu_Stat3+','ATL_InSitu_Stat3-','ATL_InSitu_Stat4+','ATL_InSitu_Stat4-','ATL_InSitu_Stat5+','ATL_InSitu_Stat5-','ATL_InSitu_Stat6+','ATL_InSitu_Stat6-','ATL_InSitu_Stat7+','ATL_InSitu_Stat7-','ATL_InSitu_Stat8+','ATL_InSitu_Stat8-','ATL_InSitu_Stat9+','ATL_InSitu_Stat9-','ATL_InSitu_Stat10+','ATL_InSitu_Stat10-','ATL_InSitu_Stat11+','ATL_InSitu_Stat11-','ATL_InSitu_Stat12+','ATL_InSitu_Stat12-','ATL_InSitu_Stat13+','ATL_InSitu_Stat13-','ATL_InSitu_Stat14+','ATL_InSitu_Stat14-','ATL_InSitu_Stat15+','ATL_InSitu_Stat15-','ATL_InSitu_Stat16+','ATL_InSitu_Stat16-','ATL_InSitu_Stat17+','ATL_InSitu_Stat17-','ATL_InSitu_Stat18+','ATL_InSitu_Stat18-','ATL_InSitu_Stat19+','ATL_InSitu_Stat19-','ATL_InSitu_Stat20+','ATL_InSitu_Stat20-','ATL_InSitu_Stat21+','ATL_InSitu_Stat21-','ATL_InSitu_Stat22+','ATL_InSitu_Stat22-','ATL_InSitu_Stat23+','ATL_InSitu_Stat23-','ATL_InSitu_Stat24+','ATL_InSitu_Stat24-','ATL_InSitu_Stat25+','ATL_InSitu_Stat25-','ATL_InSitu_Stat26+','ATL_InSitu_Stat26-','ATL_InSitu_Stat27+','ATL_InSitu_Stat27-','ATL_InSitu_Stat28+','ATL_InSitu_Stat28-','ATL_InSitu_Stat29+','ATL_InSitu_Stat29-','ATL_InSitu_Stat30+','ATL_InSitu_Stat30-','ATL_InSitu_Stat31+','ATL_InSitu_Stat31-','ATL_InSitu_Stat32+','ATL_InSitu_Stat32-','ATL_InSitu_Stat33+','ATL_InSitu_Stat33-','ATL_MJB_Alpha+','ATL_MJB_Alpha-','ATL_MJB_Asym+','ATL_MJB_Asym-','ATL_MJB_Beta+','ATL_MJB_Beta-','ATL_MJB_CBJR+','ATL_MJB_CBJR-','ATL_MJB_Fragmentation+','ATL_MJB_Fragmentation-','ATL_MJB_Intercalibration+','ATL_MJB_Intercalibration-','ATL_MJB_ISRFSR+','ATL_MJB_ISRFSR-','ATL_MJB_Threshold+','ATL_MJB_Threshold-','ATL_MPF_Generator+','ATL_MPF_Generator-','ATL_MPF_J2+','ATL_MPF_J2-','ATL_MPF_JER+','ATL_MPF_JER-','ATL_MPF_OOC+','ATL_MPF_OOC-','ATL_MPF_Pileup+','ATL_MPF_Pileup-','ATL_MPF_Purity+','ATL_MPF_Purity-','ATL_Pileup_OffsetMu+','ATL_Pileup_OffsetMu-','ATL_Pileup_OffsetNPV+','ATL_Pileup_OffsetNPV-','ATL_RelativeNonClosure_MC11c+','ATL_RelativeNonClosure_MC11c-','ATL_SingleParticle_HighPt+','ATL_SingleParticle_HighPt-','ATL_Zjet_Extrapolation+','ATL_Zjet_Extrapolation-','ATL_Zjet_JVF+','ATL_Zjet_JVF-','ATL_Zjet_KTerm+','ATL_Zjet_KTerm-','ATL_Zjet_MC+','ATL_Zjet_MC-','ATL_Zjet_Veto+','ATL_Zjet_Veto-','ATL_Zjet_Width+','ATL_Zjet_Width-','ATL_jer_uncorr', 'ATL_jar_uncorr', 'ATL_unfold_uncorr', 'ATL_qual_uncorr', 'ATL_lumi_2011_7TeV'
  NInfo   = 1
  DataInfo = 7000.
  CInfo    = 'sqrt(S)'
  IndexDataset = 514 
  Reaction  = 'pp jets APPLGRID'
  TheoryType = 'expression'
  TermName = 'A1', 'K'
  TermType = 'applgrid','kfactor'
  TermSource = 'theoryfiles/atlas/Jets2011/incljets_rapidity_20_25_R06_P2.root', 'datafiles/lhc/atlas/Jets2011/incjetsKF_7000_R06_rapidity_y_20_25.dat'
  TheorExpr= 'K*A1/1.0' 
  Percent   = 500*True
&END
&PlotDesc
PlotN = 1
PlotDefColumn = 'pt2'
PlotDefValue = 300., 5700.
PlotOptions(1)  = 'Experiment:ATLAS@ExtraLabel:pp #rightarrow j; #sqrt{s} = 7 TeV; R=0.6 2.0 #leq Y* < 2.5 @Title:2011 @XTitle: #p_{T}[GeV] @YTitle: d#sigma/dY*d#p_{T} [pb/GeV] @Xlog@Ylog'
&End
0 10 28 1 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0 28 40 1 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0 40 54 1 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0 54 68 1 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0 68 84 1 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0 84 100 1 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
1 100 116 1 0.9706 2.2648e+03 0.8790 1.0261 1.6232 -1.3036 14.1637 -12.5652 0.8252 -0.9397 0.2305 -0.3427 4.7795 -4.4523 3.4210 -3.4345 0.0471 -0.0799 0.0475 -0.0805 0.0863 -0.1112 0.0963 -0.1248 0.1430 -0.1643 0.2774 -0.3149 0.4483 -0.4782 0.5565 -0.5711 0.3150 -0.3300 0.0213 -0.0726 -0.0233 0.0235 0.0315 -0.0373 0.0358 -0.0637 0.0963 -0.1248 0.0731 -0.1012 0.0646 -0.1040 0.0161 -0.0184 -0.0042 0.0102 -0.0017 0.0002 0.0001 -0.0001 0.0002 -0.0005 0.0005 -0.0005 0.0003 -0.0011 0.0008 -0.0008 0.0023 -0.0023 -0.0022 0.0009 -0.0000 0.0008 -0.0000 0.0000 -0.0004 0.0001 -0.0002 0.0008 -0.0036 0.0003 -0.0000 0.0006 0.0000 0.0000 -0.0042 0.0063 -0.0062 0.0068 -0.0036 0.0023 -0.0073 0.0041 0.0025 -0.0025 -0.0038 0.0027 -0.0052 0.0063 0.0135 -0.0135 0.7507 -0.8806 0.4093 -0.4111 0.1152 -0.1305 0.4858 -0.5180 0.7435 -0.8823 1.1939 -1.2609 -2.1884 1.9223 -0.8047 0.4973 -3.9350 3.9348 0.0000 0.0000 0.9541 -1.0937 0.0586 -0.0896 0.4542 -0.4657 2.0315 -2.0389 -0.0645 0.0338 0.0917 -0.1192 12.3533 1.5469 0.3848 0.5000 1.8000 
1 116 134 1 0.9725 9.7755e+02 1.1362 0.9787 1.1614 -1.1392 14.1289 -12.4780 0.8572 -0.7713 0.2239 -0.3137 4.2348 -3.8569 3.5277 -3.2980 0.0274 -0.0398 0.0282 -0.0403 0.0460 -0.0737 0.0552 -0.0807 0.0794 -0.1066 0.1822 -0.1881 0.3114 -0.3077 0.6173 -0.4806 0.5650 -0.4521 0.1430 -0.1694 -0.0360 0.0294 0.0167 -0.0190 0.0204 -0.0306 0.0592 -0.0835 0.0600 -0.0852 0.1002 -0.1269 0.0227 -0.0397 0.0109 -0.0109 -0.0048 0.0038 0.0001 -0.0001 0.0002 -0.0005 0.0005 -0.0005 0.0003 -0.0011 0.0008 -0.0008 0.0017 -0.0010 -0.0010 0.0012 -0.0000 0.0008 -0.0000 0.0000 -0.0004 0.0001 -0.0002 0.0008 -0.0036 0.0003 -0.0000 0.0006 0.0000 0.0000 0.0059 -0.0059 -0.0059 0.0025 -0.0015 0.0008 -0.0144 0.0051 -0.0109 0.0049 -0.0037 0.0026 -0.0050 0.0019 0.0193 -0.0193 0.7850 -0.7034 0.4910 -0.3715 0.1022 -0.1183 0.6238 -0.4888 0.7944 -0.7097 1.2181 -1.1011 -1.8041 1.8995 -0.5482 0.5671 -3.6843 3.8576 0.0000 0.0000 0.9561 -0.8528 0.0445 -0.0773 0.5445 -0.4110 1.9088 -1.8290 -0.0650 0.0533 0.0528 -0.0777 9.6548 1.1313 0.1105 0.5000 1.8000 
1 134 152 1 0.9742 4.4519e+02 1.3982 0.8337 1.0220 -1.0175 14.1750 -12.8344 0.7886 -0.6728 0.2367 -0.3003 3.7915 -3.4746 3.6907 -3.5218 0.0178 -0.0126 0.0172 -0.0129 0.0265 -0.0479 0.0338 -0.0506 0.0506 -0.0679 0.1203 -0.1189 0.1915 -0.2026 0.4480 -0.3758 0.5689 -0.4881 0.2906 -0.3013 -0.0352 0.0275 0.0084 -0.0088 0.0119 -0.0085 0.0409 -0.0476 0.0476 -0.0598 0.1199 -0.1342 0.0244 -0.0616 0.0211 -0.0211 -0.0071 0.0096 -0.0016 0.0009 0.0002 -0.0005 0.0005 -0.0005 0.0003 -0.0011 0.0008 -0.0008 0.0109 -0.0011 0.0011 -0.0011 -0.0001 0.0008 -0.0000 0.0000 -0.0004 0.0001 -0.0002 0.0008 -0.0036 0.0003 -0.0000 0.0006 0.0000 0.0000 0.0410 -0.0324 0.0047 -0.0278 0.0123 -0.0094 -0.0141 0.0022 -0.0180 0.0148 0.0010 -0.0012 0.0036 -0.0271 0.0315 -0.0672 0.6555 -0.5689 0.4178 -0.3591 0.0930 -0.1052 0.5690 -0.4762 0.6870 -0.5968 1.1413 -1.0594 -1.5460 1.7302 -0.3696 0.5089 -3.5952 3.7625 0.0000 0.0000 0.8264 -0.7103 0.0389 -0.0600 0.4414 -0.3750 1.6907 -1.6062 -0.0417 0.0576 0.0311 -0.0448 7.6463 0.9050 0.0009 0.5000 1.8000 
1 152 172 1 0.9756 1.9780e+02 1.1065 1.2064 1.0250 -0.9521 14.4509 -13.3887 0.6611 -0.6736 0.2762 -0.2930 3.4209 -3.2610 3.8391 -4.0842 0.0144 -0.0046 0.0112 -0.0049 0.0272 -0.0333 0.0273 -0.0327 0.0444 -0.0431 0.0856 -0.0709 0.1461 -0.1410 0.2990 -0.2736 0.4768 -0.4438 0.4235 -0.4242 0.0177 -0.0074 0.0062 -0.0059 0.0089 -0.0020 0.0371 -0.0275 0.0355 -0.0382 0.1332 -0.1293 0.0250 -0.0833 0.0512 -0.0246 0.0076 -0.0076 -0.0070 0.0048 -0.0003 0.0002 0.0005 -0.0005 0.0003 -0.0011 0.0008 -0.0008 0.0157 -0.0011 0.0017 -0.0017 -0.0004 0.0008 -0.0000 0.0000 -0.0004 0.0001 -0.0002 0.0008 -0.0036 0.0003 -0.0000 0.0006 0.0000 0.0000 0.0868 -0.0846 0.0641 -0.0885 0.0348 -0.0293 0.0098 -0.0159 -0.0247 0.0183 0.0281 -0.0234 0.0507 -0.0754 0.1073 -0.1171 0.5308 -0.5036 0.3631 -0.3439 0.0913 -0.1022 0.4801 -0.4429 0.5783 -0.5795 1.0070 -1.0350 -1.4468 1.5834 -0.3421 0.4011 -3.0695 3.1604 0.0000 0.0000 0.6743 -0.6406 0.0433 -0.0450 0.3526 -0.3346 1.4324 -1.4291 0.0181 -0.0181 0.0221 -0.0277 6.4498 0.8014 0.0251 0.5000 1.8000 
