Path: /HepData/8579/d11-x1-y1
Inclusive jet PT distribution for the |y| range  1.2-2.1 and R=0.6
Location: T 15,F 10
ABS(YRAP) : 1.2 - 2.1
R : 0.6
RE : P P --> JET X
x : PT IN GEV
y : D2(SIG)/DPT/DYRAP IN PB/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	25.0	20.0	30.0	7650000.0	+30600.0	-30600.0	+2272050.0	-2249100.0	+122400.0	-122400.0
	37.5	30.0	45.0	938000.0	+6753.599999999999	-6753.599999999999	+242942.0	-222306.0	+12194.0	-12194.0
	52.5	45.0	60.0	159000.0	+2750.7	-2750.7	+28620.0	-23850.0	+1749.0000000000002	-1749.0000000000002
	70.0	60.0	80.0	37800.0	+249.48000000000002	-249.48000000000002	+5103.0	-4498.2	+415.8	-415.8
	95.0	80.0	110.0	7760.0	+72.16799999999999	-72.16799999999999	+845.8399999999999	-946.7199999999999	+85.36	-85.36
	135.0	110.0	160.0	1250.0	+10.125	-10.125	+143.75	-145.0	+13.750000000000002	-13.750000000000002
	185.0	160.0	210.0	186.0	+1.3764	-1.3764	+24.738000000000003	-21.576	+2.0460000000000003	-2.0460000000000003
	235.0	210.0	260.0	41.2	+0.29252	-0.29252	+5.4796000000000005	-5.685600000000001	+0.4944	-0.4944
	285.0	260.0	310.0	11.4	+0.14592000000000002	-0.14592000000000002	+1.7898	-1.6872	+0.1254	-0.1254
	355.0	310.0	400.0	2.85	+0.025935000000000003	-0.025935000000000003	+0.5073000000000001	-0.4332	+0.03135	-0.03135
	450.0	400.0	500.0	0.46	+0.008602	-0.008602	+0.08556000000000001	-0.08371999999999999	+0.00506	-0.00506
	550.0	500.0	600.0	0.0854	+0.0035697199999999998	-0.0035697199999999998	+0.0178486	-0.016909200000000003	+0.0010248	-0.0010248
	700.0	600.0	800.0	0.0115	+9.441500000000002E-4	-9.441500000000002E-4	+0.0032890000000000003	-0.002898	+1.38E-4	-1.38E-4
	900.0	800.0	1000.0	6.85E-4	+2.40435E-4	-2.40435E-4	+2.603E-4	-2.08925E-4	+8.905E-6	-8.905E-6
	1100.0	1000.0	1200.0	6.75E-5	+7.02E-5	-7.02E-5	+3.44925E-5	-2.7810000000000003E-5	+8.775000000000001E-7	-8.775000000000001E-7

