Path: /HepData/8579/d29-x1-y1
Dijet Mass distribution for the |y*| range  2.5-3.0 and R=0.6
Location: T 33,F 15
ABS(YRAP(P=3)-YRAP(P=4)) : 2.5 - 3.0
R : 0.6
RE : P PT --> JET JET X
x : M(P=3_4) IN TEV
y : 2*D2(SIG)/D(P=3_4)/DABS(YRAP(P=3)-YRAP(P=4)) IN PB/TEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	0.715	0.67	0.76	1400000.0	+75600.0	-75600.0	+614600.0	-452199.99999999994	+211400.0	-155400.0
	0.805	0.76	0.85	730000.0	+47450.0	-47450.0	+267910.0	-206590.0	+81030.0	-73730.0
	0.9	0.85	0.95	320000.0	+12160.0	-12160.0	+91520.0	-82880.0	+30720.0	-31360.000000000004
	1.005	0.95	1.06	150000.0	+4350.0	-4350.0	+41250.0	-34650.0	+13799.999999999998	-13350.0
	1.12	1.06	1.18	77000.0	+2541.0	-2541.0	+18557.0	-15862.000000000002	+6853.0	-6622.0
	1.245	1.18	1.31	36000.0	+1007.9999999999999	-1007.9999999999999	+8532.0	-7163.999999999999	+3060.0	-2988.0000000000005
	1.38	1.31	1.45	16000.0	+384.0	-384.0	+3552.0	-3216.0	+1408.0	-1200.0
	1.525	1.45	1.6	7800.0	+218.39999999999998	-218.39999999999998	+1622.4	-1505.4	+577.2	-538.2
	1.68	1.6	1.76	3800.0	+121.60000000000001	-121.60000000000001	+771.4	-684.0	+273.6	-243.20000000000002
	1.85	1.76	1.94	1600.0	+73.6	-73.6	+324.8	-307.2	+104.0	-102.4
	2.03	1.94	2.12	700.0	+33.6	-33.6	+161.70000000000002	-149.79999999999998	+46.9	-46.9
	2.225	2.12	2.33	320.0	+25.28	-25.28	+72.64	-62.400000000000006	+20.8	-17.919999999999998
	2.44	2.33	2.55	140.0	+12.879999999999999	-12.879999999999999	+32.76	-33.04	+8.54	-8.54
	2.665	2.55	2.78	58.0	+8.7	-8.7	+15.254	-14.441999999999998	+3.5959999999999996	-3.422
	3.045	2.78	3.31	12.0	+1.56	-1.56	+3.348	-2.856	+0.744	-0.828
	3.975	3.31	4.64	0.49	+0.1911	-0.1911	+0.18914	-0.1568	+0.040179999999999993	-0.03675

