Path: /HepData/8579/d12-x1-y1
Inclusive jet PT distribution for the |y| range  2.1-2.8 and R=0.6
Location: T 16,F 10
ABS(YRAP) : 2.1 - 2.8
R : 0.6
RE : P P --> JET X
x : PT IN GEV
y : D2(SIG)/DPT/DYRAP IN PB/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	25.0	20.0	30.0	5820000.0	+31428.000000000004	-31428.000000000004	+2165040.0	-1996259.9999999998	+98940.0	-98940.0
	37.5	30.0	45.0	689000.0	+7027.8	-7027.8	+216346.0	-186719.0	+9646.0	-9646.0
	52.5	45.0	60.0	119000.0	+2760.7999999999997	-2760.7999999999997	+24871.0	-20230.0	+1428.0	-1428.0
	70.0	60.0	80.0	24200.0	+210.54	-210.54	+3581.6000000000004	-2928.2	+266.20000000000005	-266.20000000000005
	95.0	80.0	110.0	4720.0	+27.376	-27.376	+599.44	-571.12	+61.36000000000001	-61.36000000000001
	135.0	110.0	160.0	640.0	+3.7119999999999997	-3.7119999999999997	+80.64	-81.28	+7.68	-7.68
	185.0	160.0	210.0	73.1	+0.51901	-0.51901	+11.1843	-10.599499999999999	+0.9503	-0.9503
	235.0	210.0	260.0	12.1	+0.15125	-0.15125	+2.1416999999999997	-2.2264	+0.1452	-0.1452
	285.0	260.0	310.0	2.26	+0.04068	-0.04068	+0.53336	-0.4497399999999999	+0.02712	-0.02712
	355.0	310.0	400.0	0.324	+0.009363600000000001	-0.009363600000000001	+0.08910000000000001	-0.075168	+0.0042120000000000005	-0.0042120000000000005
	450.0	400.0	500.0	0.0209	+0.0024452999999999996	-0.0024452999999999996	+0.0076703	-0.006959699999999999	+2.5079999999999997E-4	-2.5079999999999997E-4
	550.0	500.0	600.0	5.83E-4	+3.72537E-4	-3.72537E-4	+2.12795E-4	-1.33507E-4	+5.83E-6	-5.83E-6

