hadronisation corrections 
  mean  xmin  xmax  npc  npc_up npc_down 
 108.0 100.0 116.0 0.96 1.008 0.941
 125.0 116.0 134.0 0.96 1.008 0.941
 143.0 134.0 152.0 0.97 1.009 0.951
 162.0 152.0 172.0 0.97 1.009 0.951
 183.0 172.0 194.0 0.97 1.009 0.951
 205.0 194.0 216.0 0.97 1.009 0.951
 228.0 216.0 240.0 0.97 1.009 0.951
 252.0 240.0 264.0 0.97 1.009 0.960
 277.0 264.0 290.0 0.97 1.009 0.960
 304.0 290.0 318.0 0.97 1.009 0.960
 347.0 318.0 376.0 0.97 1.009 0.960
 427.0 376.0 478.0 0.97 1.009 0.960
