
&DATA
  Name = 'ATLAS 7 TeV Trijet data y_2_4 R=0.6'
  NDATA = 30
  NColumn = 139
  ColumnType = 'Flag', 2*'Bin',2*'Dummy','Sigma',133*'Error'
  ColumnName = 'binFlag','pt1','pt2','Extra','NPCorr','Sigma','stat','stat','ATL_CloseBy+','ATL_CloseBy-','ATL_EtaIntercalibration_Modelling+','ATL_EtaIntercalibration_Modelling-','ATL_EtaIntercalibration_TotalStat+','ATL_EtaIntercalibration_TotalStat-','ATL_Flavor_Comp+','ATL_Flavor_Comp-','ATL_Flavor_Response+','ATL_Flavor_Response-','ATL_Insitu_LArEMscale+','ATL_Insitu_LArEMscale-','ATL_InSitu_Stat1+','ATL_InSitu_Stat1-','ATL_InSitu_Stat2+','ATL_InSitu_Stat2-','ATL_InSitu_Stat3+','ATL_InSitu_Stat3-','ATL_InSitu_Stat4+','ATL_InSitu_Stat4-','ATL_InSitu_Stat5+','ATL_InSitu_Stat5-','ATL_InSitu_Stat6+','ATL_InSitu_Stat6-','ATL_InSitu_Stat7+','ATL_InSitu_Stat7-','ATL_InSitu_Stat8+','ATL_InSitu_Stat8-','ATL_InSitu_Stat9+','ATL_InSitu_Stat9-','ATL_InSitu_Stat10+','ATL_InSitu_Stat10-','ATL_InSitu_Stat11+','ATL_InSitu_Stat11-','ATL_InSitu_Stat12+','ATL_InSitu_Stat12-','ATL_InSitu_Stat13+','ATL_InSitu_Stat13-','ATL_InSitu_Stat14+','ATL_InSitu_Stat14-','ATL_InSitu_Stat15+','ATL_InSitu_Stat15-','ATL_InSitu_Stat16+','ATL_InSitu_Stat16-','ATL_InSitu_Stat17+','ATL_InSitu_Stat17-','ATL_InSitu_Stat18+','ATL_InSitu_Stat18-','ATL_InSitu_Stat19+','ATL_InSitu_Stat19-','ATL_InSitu_Stat20+','ATL_InSitu_Stat20-','ATL_InSitu_Stat21+','ATL_InSitu_Stat21-','ATL_InSitu_Stat22+','ATL_InSitu_Stat22-','ATL_InSitu_Stat23+','ATL_InSitu_Stat23-','ATL_InSitu_Stat24+','ATL_InSitu_Stat24-','ATL_InSitu_Stat25+','ATL_InSitu_Stat25-','ATL_InSitu_Stat26+','ATL_InSitu_Stat26-','ATL_InSitu_Stat27+','ATL_InSitu_Stat27-','ATL_InSitu_Stat28+','ATL_InSitu_Stat28-','ATL_InSitu_Stat29+','ATL_InSitu_Stat29-','ATL_InSitu_Stat30+','ATL_InSitu_Stat30-','ATL_InSitu_Stat31+','ATL_InSitu_Stat31-','ATL_InSitu_Stat32+','ATL_InSitu_Stat32-','ATL_InSitu_Stat33+','ATL_InSitu_Stat33-','ATL_MJB_Alpha+','ATL_MJB_Alpha-','ATL_MJB_Asym+','ATL_MJB_Asym-','ATL_MJB_Beta+','ATL_MJB_Beta-','ATL_MJB_CBJR+','ATL_MJB_CBJR-','ATL_MJB_Fragmentation+','ATL_MJB_Fragmentation-','ATL_MJB_Intercalibration+','ATL_MJB_Intercalibration-','ATL_MJB_ISRFSR+','ATL_MJB_ISRFSR-','ATL_MJB_Threshold+','ATL_MJB_Threshold-','ATL_MPF_Generator+','ATL_MPF_Generator-','ATL_MPF_J2+','ATL_MPF_J2-','ATL_MPF_JER+','ATL_MPF_JER-','ATL_MPF_OOC+','ATL_MPF_OOC-','ATL_MPF_Pileup+','ATL_MPF_Pileup-','ATL_MPF_Purity+','ATL_MPF_Purity-','ATL_Pileup_OffsetMu+','ATL_Pileup_OffsetMu-','ATL_Pileup_OffsetNPV+','ATL_Pileup_OffsetNPV-','ATL_RelativeNonClosure_MCTYPE+','ATL_RelativeNonClosure_MCTYPE-','ATL_SingleParticle_HighPt+','ATL_SingleParticle_HighPt-','ATL_Zjet_Extrapolation+','ATL_Zjet_Extrapolation-','ATL_Zjet_JVF+','ATL_Zjet_JVF-','ATL_Zjet_KTerm+','ATL_Zjet_KTerm-','ATL_Zjet_MC+','ATL_Zjet_MC-','ATL_Zjet_Veto+','ATL_Zjet_Veto-','ATL_Zjet_Width+','ATL_Zjet_Width-','ATL_jer_uncorr', 'ATL_jar_uncorr', 'ATL_unfold_uncorr', 'ATL_qual_uncorr', 'ATL_lumi_2011_7TeV'
  NInfo   = 1
  DataInfo = 7000.
  CInfo    = 'sqrt(S)'
  IndexDataset = 511 
  Reaction  = 'pp jets APPLGRID'
  TheoryType = 'expression'
  TermName = 'A1', 'K'
  TermType = 'applgrid','kfactor'
  TermSource = 'theoryfiles/atlas/Jets2011/threejet_rapidity_20_40_R06_P3.root', 'datafiles/lhc/atlas/Jets2011/trijetsKF_7000_Syst_R06_ystar_20_40.dat'
  TheorExpr= 'K*A1/1.0' 
  Percent   = 500*True
&END
&PlotDesc
PlotN = 1
PlotDefColumn = 'pt2'
PlotDefValue = 300., 5700.
PlotOptions(1)  = 'Experiment:ATLAS@ExtraLabel:pp #rightarrow jjj; #sqrt{s} = 7 TeV; R=0.6 2 #leq |Y*| < 4 @Title:2011 @XTitle: #m_{jjj}[GeV] @YTitle: d#sigma/dY*d#m_{jjj} [pb/GeV] @Xlog@Ylog'
&End
0 260 280 1 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0 280 300 1 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0 300 340 1 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0 340 380 1 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0 380 420 1 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
1 420 460 1 0.9410 3.6312e+01 2.1303 0.9007 3.9663 -3.9794 4.1954 -4.2025 0.6821 -0.7675 1.8851 -2.0414 6.5971 -6.4575 3.3954 -3.4437 0.1174 -0.1252 0.1158 -0.1103 0.1938 -0.2376 0.2026 -0.2545 0.3007 -0.3484 0.4028 -0.4535 0.2945 -0.3435 0.2499 -0.3025 0.2491 -0.3351 0.1735 -0.2678 -0.0062 -0.0157 0.0634 -0.0584 0.0481 -0.0437 0.0544 -0.1088 0.0232 -0.0672 0.0527 -0.1033 0.0418 -0.0640 0.0005 -0.0201 -0.0129 0.0027 -0.0069 0.0076 -0.0017 0.0019 0.0003 -0.0001 0.0000 0.0000 0.0150 -0.0272 0.0092 -0.0086 0.0010 -0.0015 -0.0003 -0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0226 -0.0437 -0.0116 -0.0314 0.0138 -0.0233 0.0075 -0.0137 -0.0160 0.0165 -0.0005 -0.0037 0.0138 -0.0258 0.0037 -0.0390 0.6606 -0.7646 0.2921 -0.3760 0.0809 -0.0984 0.4528 -0.5265 0.5983 -0.7155 1.1183 -1.2087 -1.3502 -3.6789 0.6749 -2.1067 3.3839 -3.4721 0.0000 -0.0000 1.1193 -1.2036 0.0364 -0.0878 0.4113 -0.4911 1.8799 -1.8800 -0.0241 -0.0218 0.2012 -0.2528 1.8032 0.8313 0.0162 0.7500 1.8000 
1 460 500 1 0.9688 3.5870e+01 1.9907 0.7604 3.9722 -3.9166 4.1835 -4.2085 0.6857 -0.7267 1.8417 -1.9815 6.5405 -6.3372 3.4859 -3.4655 0.1140 -0.1162 0.1125 -0.1065 0.1839 -0.2151 0.1943 -0.2334 0.2905 -0.3169 0.3955 -0.4254 0.2994 -0.3337 0.2516 -0.2935 0.2512 -0.3178 0.1909 -0.2628 -0.0014 -0.0207 0.0616 -0.0566 0.0479 -0.0474 0.0591 -0.0999 0.0231 -0.0599 0.0547 -0.0938 0.0420 -0.0613 0.0068 -0.0238 -0.0084 0.0018 -0.0080 0.0083 -0.0031 0.0027 0.0000 0.0000 0.0000 0.0000 0.0151 -0.0260 0.0083 -0.0086 0.0011 -0.0015 -0.0006 -0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0273 -0.0458 0.0033 -0.0384 0.0143 -0.0224 0.0078 -0.0146 -0.0159 0.0160 0.0026 -0.0091 0.0183 -0.0314 0.0169 -0.0462 0.6702 -0.7387 0.3063 -0.3682 0.0827 -0.0954 0.4625 -0.5066 0.6296 -0.7068 1.1355 -1.1755 -1.3829 -2.5453 0.5353 -1.6639 3.3034 -3.3809 0.0000 -0.0000 1.1002 -1.1457 0.0405 -0.0830 0.4080 -0.4666 1.8560 -1.8584 -0.0087 -0.0293 0.1918 -0.2302 1.8531 0.8392 0.0056 0.7500 1.8000 
1 500 540 1 0.9814 2.9454e+01 2.0928 0.7586 3.9318 -3.8372 4.1544 -4.1847 0.6725 -0.6931 1.7737 -1.8958 6.4282 -6.2075 3.5561 -3.5102 0.1074 -0.1052 0.1059 -0.0990 0.1728 -0.1932 0.1835 -0.2115 0.2731 -0.2865 0.3775 -0.3943 0.2972 -0.3219 0.2526 -0.2849 0.2561 -0.3064 0.2114 -0.2637 0.0088 -0.0312 0.0576 -0.0532 0.0456 -0.0472 0.0604 -0.0888 0.0229 -0.0523 0.0567 -0.0851 0.0430 -0.0594 0.0159 -0.0318 -0.0016 -0.0016 -0.0085 0.0076 -0.0050 0.0037 -0.0007 0.0004 0.0004 0.0000 0.0157 -0.0253 0.0071 -0.0084 0.0014 -0.0015 -0.0009 -0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0336 -0.0517 0.0265 -0.0531 0.0160 -0.0231 0.0095 -0.0175 -0.0150 0.0136 0.0099 -0.0207 0.0282 -0.0433 0.0362 -0.0598 0.6628 -0.7140 0.3175 -0.3632 0.0837 -0.0935 0.4633 -0.4920 0.6464 -0.7022 1.1306 -1.1500 -1.4030 -1.6273 0.4458 -1.3226 3.2020 -3.2695 0.0000 -0.0000 1.0558 -1.0839 0.0429 -0.0764 0.4023 -0.4466 1.8011 -1.8109 0.0156 -0.0453 0.1797 -0.2060 1.8522 0.8129 0.0012 0.7500 1.8000 
1 540 600 1 0.9871 1.9686e+01 1.8429 0.5851 3.8439 -3.7156 4.1104 -4.1146 0.6440 -0.6535 1.6747 -1.7677 6.2425 -6.0163 3.6408 -3.5885 0.0961 -0.0907 0.0947 -0.0873 0.1593 -0.1700 0.1693 -0.1864 0.2469 -0.2534 0.3463 -0.3539 0.2876 -0.3021 0.2524 -0.2701 0.2638 -0.2943 0.2381 -0.2694 0.0294 -0.0504 0.0514 -0.0474 0.0412 -0.0427 0.0580 -0.0746 0.0226 -0.0436 0.0591 -0.0769 0.0462 -0.0592 0.0312 -0.0470 0.0105 -0.0110 -0.0068 0.0040 -0.0077 0.0048 -0.0023 0.0017 0.0003 0.0000 0.0175 -0.0250 0.0053 -0.0074 0.0024 -0.0015 -0.0015 -0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0433 -0.0633 0.0643 -0.0807 0.0213 -0.0275 0.0167 -0.0260 -0.0104 0.0062 0.0278 -0.0427 0.0487 -0.0655 0.0663 -0.0837 0.6440 -0.6797 0.3291 -0.3567 0.0854 -0.0940 0.4561 -0.4707 0.6618 -0.6991 1.1122 -1.1218 -1.3983 -0.7968 0.3796 -1.0102 3.0648 -3.1037 0.0000 -0.0000 0.9852 -1.0022 0.0443 -0.0676 0.3943 -0.4212 1.7107 -1.7215 0.0541 -0.0756 0.1635 -0.1771 1.8096 0.7384 0.0062 0.7500 1.8000 
1 600 660 1 0.9888 1.1613e+01 1.6539 0.5137 3.7268 -3.5571 4.0518 -3.9909 0.6083 -0.6043 1.5639 -1.6152 6.0121 -5.7608 3.7540 -3.6905 0.0827 -0.0749 0.0814 -0.0731 0.1472 -0.1479 0.1554 -0.1601 0.2187 -0.2200 0.3070 -0.3075 0.2701 -0.2706 0.2458 -0.2444 0.2674 -0.2755 0.2636 -0.2737 0.0597 -0.0744 0.0448 -0.0404 0.0356 -0.0349 0.0522 -0.0603 0.0221 -0.0352 0.0611 -0.0695 0.0520 -0.0599 0.0521 -0.0648 0.0302 -0.0285 0.0003 -0.0042 -0.0102 0.0056 -0.0051 0.0047 -0.0003 0.0000 0.0211 -0.0249 0.0033 -0.0054 0.0043 -0.0015 -0.0024 -0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0570 -0.0759 0.1140 -0.1173 0.0319 -0.0366 0.0350 -0.0426 0.0030 -0.0091 0.0599 -0.0721 0.0809 -0.0935 0.1045 -0.1125 0.6216 -0.6351 0.3399 -0.3446 0.0898 -0.0947 0.4411 -0.4360 0.6811 -0.6962 1.0905 -1.0864 -1.3562 -0.1896 0.3383 -0.7563 2.9011 -2.8900 0.0000 -0.0000 0.9034 -0.9045 0.0442 -0.0577 0.3821 -0.3859 1.5968 -1.5911 0.1033 -0.1151 0.1475 -0.1473 1.7206 0.6247 0.0093 0.7500 1.8000 
