; Data taken from arxiv1407.0371 
; systematics
;
syst_JES_bquark_jets+ -0.02 -0.01 +0.38 +0.30
syst_JES_bquark_jets- +0.03 +0.03 -0.53 -0.76
syst_JES_Closeby_jets+ -0.73 +0.88 +1.40 +1.40
syst_JES_Closeby_jets- +0.82 -1.04 -1.19 -1.28
syst_JES_Effective_detector_NP_set1+ -0.53 +0.51 +2.00 +2.76
syst_JES_Effective_detector_NP_set1- +0.53 -0.49 -2.12 -3.18
syst_JES_Effective_detector_NP_set2+ +0.03 -0.01 -0.31 -0.70
syst_JES_Effective_detector_NP_set2- -0.05 +0.07 +0.00 -0.09
syst_JES_Effective_mixed_NP_set1+ -0.10 +0.13 +0.09 +0.18 
syst_JES_Effective_mixed_NP_set1- +0.03 +0.02 -0.47 -1.07
syst_JES_Effective_mixed_NP_set2+ -0.01 +0.06 -0.33 -0.76
syst_JES_Effective_mixed_NP_set2- +0.04 -0.04 -0.05 -0.25
syst_JES_Effective_model_NP_set1+ -0.59 +0.75 +0.89 +0.39
syst_JES_Effective_model_NP_set1- +0.48 -0.61 -0.72 -0.56
syst_JES_Effective_model_NP_set2+ +0.01 -0.03 +0.12 +0.16
syst_JES_Effective_model_NP_set2- +0.21 -0.18 -0.97 -1.55
syst_JES_Effective_model_NP_set3+ +0.13 -0.11 -0.56 -0.70
syst_JES_Effective_model_NP_set3- -0.09 +0.13 +0.05 +0.01
syst_JES_Effective_model_NP_set4+ -0.06 +0.09 +0.06 -0.06
syst_JES_Effective_model_NP_set4- +0.09 -0.08 -0.40 -0.64
syst_JES_Effective_statistical_NP_set1+ -0.16 +0.22 +0.18 -0.09
syst_JES_Effective_statistical_NP_set1- +0.25 -0.33 -0.24 -0.05
syst_JES_Effective_statistical_NP_set2+ +0.09 -0.11 -0.18 -0.28
syst_JES_Effective_statistical_NP_set2- -0.01 +0.03 -0.09 -0.21
syst_JES_Effective_statistical_NP_set3+ -0.12 +0.15 +0.16 +0.20
syst_JES_Effective_statistical_NP_set3- +0.05 -0.01 -0.49 -0.90
syst_JES_etaintercalibration+ -0.90 +0.96 +2.71 +3.31
syst_JES_etaintercalibration- +1.03 -1.14 -2.80 -3.64
syst_JES_etaintercalibration_statistics+ -0.16 +0.21 +0.23 -0.11
syst_JES_etaintercalibration_statistics- +0.17 -0.15 -0.71 -1.17
syst_JES_Flavor_composition+ -0.04 +0.02 +0.26 +0.33
syst_JES_Flavor_composition- +0.09 -0.09 -0.35 -0.49
syst_JES_Flavor_response+ -0.36 +0.45 +0.58 +0.54
syst_JES_Flavor_response- +0.42 -0.48 -0.97 -1.24
syst_JES_Pileup_offset_mu+ -0.19 +0.20 +0.68 +0.61
syst_JES_Pileup_offset_mu- +0.10 -0.10 -0.36 -0.34
syst_JES_pileup_offset_NPV+ -0.07 +0.09 +0.07 -0.25
syst_JES_pileup_offset_NPV- +0.14 -0.15 -0.41 -0.82
syst_JES_Relative_nonclosureMC+ -0.04 +0.09 -0.23 -0.52
syst_JES_Relative_nonclosureMC- +0.14 -0.15 -0.46 -0.74
syst_JES_Single_particle_highpT+ +0.03 -0.04 -0.08 -0.10
syst_JES_Single_particle_highpT- +0.03 -0.03 -0.08 -0.12
syst_JES_uncertainty_in_background+ -1.20  +1.37 +2.78 +3.89
syst_JES_uncertainty_in_background- +1.13 -1.35 -2.35 -2.60
syst_Jet_energy_resolution+ +3.42 -4.07 -7.06 -8.01
syst_Jet_energy_resolution- -3.49 +4.16 +7.22 +8.19
syst_Jet_reconstruction_efficiency+ -0.04 +0.07 -0.12 -0.29
syst_Jet_reconstruction_efficiency- +0.04 -0.07 +0.12 +0.29
syst_bquark_tagging_efficiency+ -0.01 -0.04 +0.36 +0.98
syst_bquark_tagging_efficiency- -0.10 +0.13 +0.17 -0.13
syst_cquark_tagging_efficiency+ -0.07 +0.07 +0.23 +0.31
syst_cquark_tagging_efficiency- +0.06 -0.07 -0.19 -0.24
syst_Light_jet_tagging_efficiency+ -0.01 +0.01 +0.06 +0.12
syst_Light_jet_tagging_efficiency- +0.03 -0.03 -0.08 -0.15
syst_electron_energy_resolution+ +0.00 -0.01 -0.02 +0.16
